번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
101,밥류,오징어 덮밥(경기도),500,665,91.12,33.38,18.46,4.2,1779.84,342.74,2.75,0.2
102,밥류,오징어 덮밥(경상도),500,615,108.26,29.9,6.84,9.86,1616.06,400.49,2.14,0
103,밥류,오징어 덮밥(서울),500,695,102.48,32.68,16.92,5.96,1512.12,192.04,2.36,0.1
104,밥류,오징어 덮밥(전라도),500,720,95.48,33.02,22.74,3.03,1737.25,272.15,2.72,0.09
105,밥류,오징어 덮밥(충청도),500,660,117.7,31.72,6.78,2.4,1480.54,292.88,1.79,0.06
106,밥류,장어덮밥,400,716.54,97.35,30.09,22.98,5.59,920.76,234.56,5.18,0.23
107,밥류,장어덮밥(강원도),400,800,96.06,34.7,30.97,2.45,938.57,309.21,8.68,0.43
108,밥류,장어덮밥(경기도),400,712,102.71,30.85,19.65,1.49,970.59,232.19,3.8,0.15
109,밥류,장어덮밥(경상도),400,740,106.77,28.16,22.26,4.67,726.77,160.84,4.34,0.2
110,밥류,장어덮밥(서울),400,696,101.66,27.43,20,4.91,1321.95,284.68,4.6,0.12
111,밥류,장어덮밥(전라도),400,688,87.97,29.23,24.46,7.16,867.3,168.77,5.25,0.3
112,밥류,장어덮밥(충청도),400,660,88.93,30.14,20.51,12.83,699.41,251.64,4.39,0.2
113,밥류,해물덮밥,700,771.93,100.45,42.04,22.44,1.2,1802.68,286.24,5.41,0.21
114,밥류,해물덮밥(강원도),700,763,125.95,30.67,15.49,2.28,1336.5,211.92,3.06,0.11
115,밥류,해물덮밥(경기도),700,686,86,46.7,17.11,0.55,2097.35,367.72,3.46,0.14
116,밥류,해물덮밥(경상도),700,805,96.73,45.39,26,1.47,1782.9,238.27,4.26,0.14
117,밥류,해물덮밥(서울),700,770,82.03,52,25.98,0.92,2030.89,395.96,11.6,0.56
118,밥류,해물덮밥(전라도),700,840,97.28,42.41,30.93,1.6,2019.87,296.42,6.46,0.18
119,밥류,해물덮밥(충청도),700,770,114.7,35.06,19.14,0.36,1548.58,207.14,3.6,0.13
120,밥류,회덮밥,500,683.02,103.3,30.21,16.56,10.92,744.27,88.65,2.9,0.12
121,밥류,회덮밥(강원도),500,600,92.84,33.07,10.62,12.04,1064.56,102.96,2.39,0.02
122,밥류,회덮밥(경기도),500,720,120.57,22.25,16.71,4.4,828.32,99.98,3.61,0.3
123,밥류,회덮밥(경상도),500,645,77.28,36.84,21.14,10.15,540.62,110.72,4.08,0.04
124,밥류,회덮밥(서울),500,770,88.22,32.34,31.96,7.28,421.68,90.96,1.76,0.07
125,밥류,회덮밥(전라도),500,715,118.88,33.16,11.66,16.21,860.86,70.86,3.82,0.2
126,밥류,회덮밥(충청도),500,645,122,23.6,7.22,15.46,749.59,56.41,1.72,0.04
127,밥류,참치덮밥,500,679.1,102.93,29.2,16.73,2.98,1618.74,115.79,3.4,0.08
128,밥류,참치덮밥(강원도),500,690,108.12,31.2,14.68,6.44,1865.96,146.58,3.35,0.11
129,밥류,참치덮밥(경기도),500,700,110.49,22.76,18.56,1.9,1450.54,109.54,3.58,0.11
130,밥류,참치덮밥(경상도),500,665,79.65,29.9,24.97,4.48,1631.69,83.26,3.77,0
131,밥류,참치덮밥(서울),500,730,108.68,34.06,17.57,0.88,1513.2,160.02,3.46,0.14
132,밥류,참치덮밥(전라도),500,610,93.64,25.98,14.7,0.33,1753.84,97.53,2.24,0.06
133,밥류,참치덮밥(충청도),500,680,117,31.3,9.89,3.87,1497.23,97.82,4.05,0.1
134,밥류,류산슬덮밥,550,574.99,73.95,26.96,19.04,0.42,1579.35,120.87,3.39,0.12
135,밥류,류산슬덮밥(강원도),550,572,78.78,25.6,17.21,0,1462.77,142.2,4.11,0.11
136,밥류,류산슬덮밥(경기도),550,555.5,78.37,25.37,15.72,0.19,1855.86,122.11,2.11,0.07
137,밥류,류산슬덮밥(경상도),550,577.5,65.27,31.34,21.5,1.34,1843.93,165.9,3.55,0.1
138,밥류,류산슬덮밥(서울),550,599.5,79.62,27.5,19.26,0.59,1447.79,68.93,3.4,0.14
139,밥류,류산슬덮밥(전라도),550,528,58.7,24.51,21.43,0.4,1569.82,103.56,4.37,0.15
140,밥류,류산슬덮밥(충청도),550,616,82.95,27.46,19.11,0,1295.93,122.49,2.82,0.13
141,밥류,송이덮밥,600,581.81,95.6,18.22,14.06,2.27,1678.01,48.2,2.79,0.1
142,밥류,송이덮밥(강원도),600,528,114.44,16.33,0.32,0.32,1485.92,6.13,2.74,0.05
143,밥류,송이덮밥(경기도),600,570,101.41,18.48,10.19,3.01,1568.84,51.76,1.99,0.07
144,밥류,송이덮밥(경상도),600,606,88.75,21.23,18.74,4.5,1833.19,63.55,3.06,0.1
145,밥류,송이덮밥(서울),600,594,89.45,17.03,18.76,1.22,1542.64,56.92,2.87,0.13
146,밥류,송이덮밥(전라도),600,552,81.89,15.37,18.07,1.87,1712.76,30.4,3.24,0.12
147,밥류,송이덮밥(충청도),600,636,97.65,20.84,18.27,2.69,1924.69,80.42,2.83,0.11
148,밥류,볶음밥,400,773.3,112.68,18.79,27.5,0.86,1203.19,161.18,12.79,0.29
149,밥류,볶음밥(강원도),400,852,115.84,21.45,33.46,1.88,1083.6,160.79,17.41,0.4
150,밥류,볶음밥(경기도),400,600,72.86,15.9,27.29,0.11,1060.64,187.79,6.51,0.06
151,밥류,볶음밥(경상도),400,812,132.69,16.38,24.03,0.72,1091.53,138.26,15.01,0.24
